AGB,# stems,B1,B2,B3,B4,B5,mean_intensity,std_intensity,mean_height (m),perc25_height,median_height,perc75_height,std_height,var_height,skew_height,kurto_height,dens_q100,dens_q75,dens_q50,dens_q25,mean_zdiff_q100,mean_zdiff_q75,mean_zdiff_q50,mean_zdiff_q25
1433.028571,154,1078.567655,3477.703182,2311.270513,8246.991391,16257.67634,30.70322581,1.846266306,0.698625806,0.44425,0.708,0.7405,0.058003798,0.003364441,-1.283863114,3.928389393,0.251612903,0.238709677,0.24516129,0.264516129,0.001947368,0.000861111,0.001,0.00685
1320,118,948.088,3240.616,2246.608,7250.88,14722.032,30.62085308,1.88492177,0.530123223,0.318,0.542,0.572,0.065626359,0.004306819,-1.251798871,4.580675484,0.241706161,0.251184834,0.251184834,0.255924171,0.00212,0.000538462,0.000846154,0.00654717
1248.171429,115,1251.889764,3828.417323,2999.204724,8590.535433,16050.49606,30.07246377,2.155672265,0.56165942,0.3885,0.5665,0.60075,0.057144173,0.003265456,-0.158882541,0.070243883,0.253623188,0.246376812,0.246376812,0.253623188,0.003794118,0.001,0.001242424,0.003264706
1030.783078,106,890.796748,2996.292683,2384.463415,6874.617886,13303.26829,30.77308707,3.177462475,0.618989446,0.511,0.617,0.6725,0.070875527,0.00502334,-0.110959066,0.159055715,0.250659631,0.248021108,0.250659631,0.250659631,0.001404255,0.000580645,0.0005,0.002329787
1205,157,1199.880952,3872.309524,3272.111111,8644.150794,14449.45238,29.90789474,1.492768812,0.436776316,0.64,0.4355,0.49225,0.080550834,0.006488437,-0.619532525,1.680551523,0.25,0.25,0.25,0.25,0.004243243,0.001513514,0.001243243,0.007027027
1929.62963,0,881.5511811,3095.15748,2401.527559,7389.283465,14734.67717,29.1958042,2.321257018,0.611041958,0.56,0.631,0.675,0.089972947,0.008095131,-1.14160279,1.337779769,0.244755245,0.251748252,0.244755245,0.258741259,0.002117647,0.001228571,0.002058824,0.008111111
844.3,120,1412.161049,2997.60527,3432.242152,6261.66307,10418.26849,28.95215311,1.322462418,0.413195694,0.3742,0.4078,0.4496,0.047305391,0.0022378,0.075992831,-0.926351877,0.244019139,0.253588517,0.248803828,0.253588517,0.001398,0.000780769,0.000654902,0.001348077
883.03,66,1004.437911,2790.618531,2329.566263,6218.112918,11389.60663,28.91904762,1.443579891,0.48649619,0.458725,0.4903,0.51485,0.040258212,0.001620724,-0.274880141,-0.518442017,0.252380952,0.247619048,0.247619048,0.252380952,0.001057692,0.000464706,0.000603922,0.001365385
1918.65,139,756.5940827,2158.669132,1342.613036,4563.484407,9411.910315,30.43946188,1.522525538,0.761324215,0.74485,0.7625,0.78165,0.027657879,0.000764958,-0.201018948,-0.275932872,0.251121076,0.246636771,0.251121076,0.251121076,0.000689091,0.000337037,0.000314545,0.001223636
1050.02,75,794.282644,2512.921425,1585.632393,5160.359741,9660.193025,29.62711864,1.899137227,0.706191525,0.681525,0.7089,0.728875,0.031288308,0.000978958,0.028744397,-0.676180205,0.254237288,0.245762712,0.245762712,0.254237288,0.0014,0.000642857,0.000960714,0.001606897
1282.85,79,823.8455518,2719.707737,1932.731476,6035.733782,11422.41129,29.77372263,2.568741635,0.689781022,0.6643,0.6875,0.717,0.036906488,0.001362089,-0.224687626,-0.337567855,0.248175182,0.248175182,0.248175182,0.255474453,0.0016,0.000754545,0.000687879,0.002173529
1000.04,0,1034.975445,3299.778523,2354.64058,7237.078868,13577.94932,29.76744186,2.066760293,0.52356124,0.4942,0.5183,0.5592,0.047080456,0.002216569,-0.022479539,-0.614674929,1000.04,0.248062016,0.248062016,0.248062016,0.255813953,0.00203871,0.001254839,0.000709677
1404.53,0,1306.338794,4513.057272,2500.875961,10175.85793,19862.52662,31.09059233,1.171146434,0.739261672,0.71155,0.738,0.7663,0.035490016,0.001259541,0.112683157,-0.595306217,1404.53,0.25087108,0.24738676,0.25087108,0.25087108,0.000825352,0.0004,0.000371831
868.02,0,1457.032167,3945.90396,3700.099661,8886.316784,14718.18056,31.34848485,2.489325236,0.475880606,0.453825,0.4765,0.50115,0.033335152,0.001111232,-0.345024555,-0.208589194,868.02,0.251515152,0.245454545,0.251515152,0.251515152,0.000656098,0.00030125,0.00027561
987.79,0,1053.741785,3702.007442,2580.715246,8315.845384,14876.17477,32.36,2.531876774,0.555105,0.525925,0.55735,0.57845,0.03915839,0.001533379,0.115572293,-0.310090987,987.79,0.25,0.25,0.25,0.25,0.003133333,0.000841667,0.0012875
1984.49,0,1189.974914,4930.818719,2902.33358,11114.54056,19350.6542,29.16037736,1.976927254,0.636863208,0.598775,0.64375,0.677575,0.056355421,0.003175933,-0.486873432,-0.263734615,1984.49,0.254716981,0.245283019,0.245283019,0.254716981,0.002584615,0.00116,0.001468
1109.28,0,1099.34997,3966.287623,2638.236336,8460.265835,15045.68139,30.37704918,2.427060115,0.562521311,0.53565,0.56375,0.587225,0.035286735,0.001245154,0.057236123,-0.537989597,1109.28,0.254098361,0.245901639,0.245901639,0.254098361,0.00192,0.000782759,0.000913793
684.4705882,0,576.6128038,1767.136868,381.3063951,4418.209018,18561.25529,31.22279793,1.643671628,0.641777547,0.561866667,0.640266667,0.729666667,0.097950802,0.00959436,0.035575563,-1.041078858,0,0,0,0,0,0,0,0
